NomeLoja;EnderecoWeb;Endereco;Cidade;CEP;CNPJ;Horario;GrupoCardapio
Senhor Batata;https://www.ifood.com.br/delivery/abreu-e-lima-pe/senhor-batata-caetes-i/483bf29c-f4ac-4ca1-ac18-9303a8ee0e92;-;-;-;-;['Segunda-feira - 10:00 às 22:00', 'Terça-feira - 10:00 às 22:00', 'Quarta-feira - 10:00 às 22:00', 'Quinta-feira - 10:00 às 22:00', 'Sexta-feira - 10:00 às 22:00', 'Sábado - 10:00 às 22:00', 'Domingo - 10:00 às 22:00'];['coxinhas', 'salgados']
Mix Acaiteriia;https://www.ifood.com.br/delivery/abreu-e-lima-pe/mix-acaiteriia-caetes-i/1f10edf0-0483-49fd-84d8-64ad3ee4beaa;Rua Cento e Cinqüenta E Um, 45 - Caetés I;Abreu e Lima - PE;53530-394;44.501.845/0001-36;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 16:45 às 23:00', 'Quinta-feira - 13:00 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 16:00 às 23:00', 'Domingo - 16:00 às 23:00'];['destaques', 'saladas de fruta', 'creme de açaí', 'açaí batido', 'copo da felicidade']
Ateliê de Doces;https://www.ifood.com.br/delivery/abreu-e-lima-pe/atelie-de-doces-caetes-i/e72f4c3e-da84-4540-b4cf-1ceb544b1f02;Rua Cento e Noventa E Cinco, 255 - Caetés I;Abreu e Lima - PE;53530-486;46.844.386/0001-19;['Segunda-feira - 13:00 às 23:00', 'Terça-feira - 13:00 às 23:00', 'Quarta-feira - 13:00 às 23:00', 'Quinta-feira - 13:00 às 23:00', 'Sexta-feira - 13:00 às 23:00', 'Sábado - 13:00 às 23:00', 'Domingo - 13:00 às 22:30'];['bombom gourmet', 'brownie', 'bolo no pote']
Mundo Burguer;https://www.ifood.com.br/delivery/abreu-e-lima-pe/mundo-burguer-caetes-i/510d6ef3-bfc2-46b0-8efb-e14e327e78b9;Rua Cento e Sessenta, 65 - Caetés I;Abreu e Lima - PE;53530-414;38.686.344/0001-79;['Segunda-feira - 00:00 às 04:00 - 07:00 às 23:59', 'Terça-feira - 00:00 às 04:00 - 06:00 às 23:59', 'Quarta-feira - 00:00 às 04:00 - 07:00 às 23:59', 'Quinta-feira - 00:00 às 04:00 - 06:00 às 23:59', 'Sexta-feira - 00:00 às 04:00 - 07:00 às 23:59', 'Sábado - 00:00 às 04:00 - 06:00 às 23:59', 'Domingo - Não abre'];['hambúrgueres', 'sandubas classicos', 'acompanhamentos', 'bebidas', 'combos família', 'combo individual']
Império do Açaí;https://www.ifood.com.br/delivery/igarassu-pe/imperio-do-acai-alto-do-ceu/bc001622-2ad2-41fa-9433-42beeee0e8aa;Rua Londrina, 1 - Alto do Céu;Igarassu - PE;53650-781;48.798.073/0001-05;['Segunda-feira - 18:00 às 22:30', 'Terça-feira - 11:30 às 22:30', 'Quarta-feira - 18:00 às 22:30', 'Quinta-feira - 18:00 às 22:30', 'Sexta-feira - 18:00 às 22:30', 'Sábado - 18:00 às 22:30', 'Domingo - 18:00 às 22:30'];['açai', 'açai no copo']
Yakisoba da Anny;https://www.ifood.com.br/delivery/paulista-pe/yakisoba-da-anny-artur-lundgren-ii/40b53bcd-038d-493d-8490-c7c016e29aab;Rua Monte Verde, 215 - Artur Lundgren Ii;Paulista - PE;53416-770;47.739.637/0001-68;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 11:00 às 14:00 - 18:00 às 23:00', 'Sexta-feira - 11:00 às 14:00 - 18:00 às 23:00', 'Sábado - 11:00 às 14:00 - 18:00 às 23:00', 'Domingo - 11:00 às 14:30 - 18:00 às 23:00'];['yakisoba', 'rolinhos', 'promoção']
Açaí do Paulista;https://www.ifood.com.br/delivery/paulista-pe/acai-do-paulista-paratibe/0c17474f-0b8a-443f-985b-9db5eb7dcef9;Rua G, 16 - Paratibe;Paulista - PE;53413-830;41.099.322/0001-17;['Segunda-feira - 00:00 às 23:59', 'Terça-feira - 00:00 às 23:59', 'Quarta-feira - 00:00 às 23:59', 'Quinta-feira - 00:00 às 23:59', 'Sexta-feira - 00:00 às 23:59', 'Sábado - 00:00 às 23:59', 'Domingo - 00:00 às 23:59'];['destaques', 'açaí crocante', 'açaí da criança', 'açaí', 'casadinha açaí + cupuaçu  (meio a meio)', 'cupuaçu']
Salgados do Gordinho & Pastelaria;https://www.ifood.com.br/delivery/paulista-pe/salgados-do-gordinho--pastelaria-artur-lundgren-ii/0e46b67f-5a44-4894-b479-6edcf746d72c;Rua Jardim, 155 - Artur Lundgren Ii;Paulista - PE;53416-170;44.078.399/0001-07;['Segunda-feira - 16:15 às 23:59', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 18:30 às 23:00', 'Sexta-feira - 18:15 às 23:00', 'Sábado - 14:00 às 23:00', 'Domingo - 14:00 às 23:59'];['destaques', 'baguete especial de 25cm', 'festival de pastéis', 'as coxinhas queridinhas do ifood 130g', 'sugestão do chef', 'promoções de tostas especiais', 'crepe frances (p)', 'sucos']
Gd Acai Delivery;https://www.ifood.com.br/delivery/paulista-pe/gd-acai-delivery-artur-lundgren-i/94330a25-d5a2-4ac3-9841-695c279085f3;Rua Vertentes, 144 - Artur Lundgren I;Paulista - PE;53417-110;32.410.693/0001-87;['Segunda-feira - 17:45 às 23:30', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 17:45 às 23:15', 'Quinta-feira - 17:45 às 23:15', 'Sexta-feira - 17:45 às 23:15', 'Sábado - 18:00 às 23:15', 'Domingo - 17:45 às 23:15'];['destaques', 'monte seu açaí tradicional', 'açaí premium', 'açai kids', 'bolos e sobremesas', 'milkshake', 'sorvetes especiais', 'salgados', 'bebidas', 'tapioca', 'sorvetes 1 litro']
Hambúrgueria Marvel;https://www.ifood.com.br/delivery/paulista-pe/hamburgueria-marvel-paratibe/276deef8-eaa3-4e00-b03a-2023996b83ee;Rua Doutor José Mariano, 195 - Paratibe;Paulista - PE;53413-530;33.015.484/0001-00;['Segunda-feira - 18:30 às 22:45', 'Terça-feira - 18:30 às 22:30', 'Quarta-feira - 18:15 às 22:30', 'Quinta-feira - 18:15 às 23:00', 'Sexta-feira - 18:15 às 22:30', 'Sábado - 18:15 às 22:30', 'Domingo - 18:00 às 23:30'];['destaques', 'burguers ', 'dupla do dia', 'combos', 'batatas', 'bebidas ']
Casa da Pizza;https://www.ifood.com.br/delivery/paulista-pe/casa-da-pizza-artur-lundgren-i/d9b93de7-5cb1-4508-8ce2-2f653eace30c;Rua Igarassu, 295 - Artur Lundgren I;Paulista - PE;53417-300;06.886.997/0001-05;['Segunda-feira - 17:00 às 22:00', 'Terça-feira - 17:00 às 22:00', 'Quarta-feira - 17:00 às 22:00', 'Quinta-feira - 17:00 às 22:00', 'Sexta-feira - 17:00 às 22:30', 'Sábado - 17:00 às 22:30', 'Domingo - 17:00 às 22:30'];['destaques', 'combo especial', 'pizzas premium', 'pizzas', 'pizzas doces', 'lanches ', 'pratos', 'petiscos ', 'bebidas', 'sobremesas', 'almoço individual']
Jhoowburguer;https://www.ifood.com.br/delivery/paulista-pe/jhoowburguer-paratibe/f3e2faa3-1773-4b82-ab2e-e33279bda355;Rua Senador Paulo Pessoa Guerra, 20 - Paratibe;Paulista - PE;53415-280;47.080.461/0001-85;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 23:15', 'Quarta-feira - 18:00 às 23:15', 'Quinta-feira - 18:00 às 23:15', 'Sexta-feira - 18:00 às 23:15', 'Sábado - 18:00 às 23:15', 'Domingo - 18:00 às 23:15'];['combos', 'hambúrguer', 'batata frita', 'bebidas']
Kisabor Sacolé Gourmet / Confeitaria;https://www.ifood.com.br/delivery/paulista-pe/kisabor-sacole-gourmet---confeitaria-paratibe/6d5a0a9c-1bd1-4250-8eab-a95a08d284c6;Rua São Tomaz, 133 - Paratibe;Paulista - PE;53415-220;35.702.498/0001-19;['Segunda-feira - 11:00 às 21:00', 'Terça-feira - 11:00 às 21:00', 'Quarta-feira - 11:00 às 21:00', 'Quinta-feira - 11:00 às 21:00', 'Sexta-feira - 11:00 às 19:15', 'Sábado - 11:00 às 21:00', 'Domingo - 11:00 às 20:00'];['>>> os mais vendidos do ifood <<<', 'sacolé gourmet supreme', 'sacolé gourmet', 'combo  promoção']
A Rainha da Coxinha;https://www.ifood.com.br/delivery/paulista-pe/a-rainha-da-coxinha-nossa-senhora-da-conceicao/8bb2ca1a-163a-4465-a440-c5ede0edcec8;Rua Funilândia, 16 - Nossa Senhora da Conceição;Paulista - PE;53429-680;44.037.898/0001-48;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 15:00 às 22:00', 'Quarta-feira - 15:00 às 22:00', 'Quinta-feira - 15:00 às 23:00', 'Sexta-feira - 15:00 às 23:00', 'Sábado - 16:30 às 23:00', 'Domingo - 16:30 às 22:30'];['tapioca', 'bebidas', 'enroladinho', 'coxinha']
Marmitex;https://www.ifood.com.br/delivery/paulista-pe/marmitex-artur-lundgren-i/3b89112f-fa61-4f6a-8572-a7cadeb4d2c2;Rua Ipojuca, 336 - Artur Lundgren I;Paulista - PE;53417-380;46.474.816/0001-58;['Segunda-feira - 10:00 às 19:00', 'Terça-feira - 10:00 às 22:00', 'Quarta-feira - 10:00 às 22:00', 'Quinta-feira - 11:00 às 23:59', 'Sexta-feira - 09:00 às 22:00', 'Sábado - 10:30 às 22:00', 'Domingo - 11:15 às 22:00'];['destaques', 'combo coca cola', 'cubos de  carne suína', 'iscas de carne com ovo', 'frango frito', 'bisteca suína ao molho', 'porção de arroz', 'porção de feijão', 'omelete de tomate', 'ovos frito na manteiga', 'coca cola']
Nat's Pizzaria Delivery;https://www.ifood.com.br/delivery/paulista-pe/nats-pizzaria-delivery-nossa-senhora-da-conceicao/e09394a0-9cc8-459c-bca0-cd12510b73d3;Rua Bonfim, 23 - Nossa Senhora da Conceição;Paulista - PE;53425-250;48.919.622/0001-44;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - 16:00 às 23:59'];['pizza g (8 pedaços)']
Santore;https://www.ifood.com.br/delivery/paulista-pe/santore-paratibe/4a69a23b-ecc0-4d71-9445-b7595d7a2102;Avenida Lindolfo Collor, 9 - Paratibe;Paulista - PE;53413-150;39.652.354/0001-56;['Segunda-feira - Não abre', 'Terça-feira - 16:45 às 23:00', 'Quarta-feira - 16:45 às 23:00', 'Quinta-feira - 16:45 às 23:00', 'Sexta-feira - 16:45 às 23:00', 'Sábado - 16:45 às 23:00', 'Domingo - 16:00 às 23:00'];['destaques', 'os melhores combos promocionais', 'pizzas meio a meio #maisfamosasdoifood', 'as queridinhas :d', 'pizza premium especial', 'porção de borda pãeszinhos', 'pizzas doce', 'bebidas']
Delicias da Ane;https://www.ifood.com.br/delivery/paulista-pe/delicias-da-ane-artur-lundgren-i/6c826b5b-c6c5-4d3e-a473-0e6972233a61;Rua Agrestina, 125 - Artur Lundgren I;Paulista - PE;53415-120;37.095.679/0001-50;['Segunda-feira - Não abre', 'Terça-feira - 10:00 às 20:00', 'Quarta-feira - 10:00 às 20:00', 'Quinta-feira - 10:00 às 20:00', 'Sexta-feira - 10:00 às 20:00', 'Sábado - 10:00 às 20:00', 'Domingo - Não abre'];['bebidas']
China X;https://www.ifood.com.br/delivery/paulista-pe/china-x-paratibe/86138531-73c4-4d89-abe5-bf1f3fe27ea7;Rua das Hortênsias, 3 - Paratibe;Paulista - PE;53413-630;46.187.244/0001-26;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['chinesa', 'refrigerantes', 'parmegiana', 'petiscos']
Tapiocaria Sabor Divino;https://www.ifood.com.br/delivery/paulista-pe/tapiocaria-sabor-divino-paratibe/cad7449c-c908-4bdf-a57f-4b0b00d7c07f;Avenida Lindolfo Collor, 178 - Paratibe;Paulista - PE;53413-150;36.192.668/0001-25;['Segunda-feira - 16:15 às 20:00', 'Terça-feira - 16:30 às 20:00', 'Quarta-feira - 16:30 às 20:00', 'Quinta-feira - 16:30 às 20:00', 'Sexta-feira - 16:30 às 20:00', 'Sábado - Não abre', 'Domingo - Não abre'];['bebidas', 'tapiocas doces', 'tapiocas rendadas', 'tapiocas salgadas']
Bom Doce Doce;https://www.ifood.com.br/delivery/paulista-pe/bom-doce-doce-paratibe/86a71283-81d9-4fd8-af5a-812f4a2249a6;Rua do Jasmim, 106 - Paratibe;Paulista - PE;53413-020;35.707.191/0001-00;['Segunda-feira - 09:45 às 22:00', 'Terça-feira - 10:00 às 23:59', 'Quarta-feira - 09:00 às 23:59', 'Quinta-feira - 09:00 às 23:59', 'Sexta-feira - 09:00 às 23:59', 'Sábado - 09:00 às 23:59', 'Domingo - 09:00 às 23:59'];['-']
Açai Pedro Copão;https://www.ifood.com.br/delivery/paulista-pe/acai-pedro-copao-nossa-senhora-da-conceicao/78f92b30-4e3d-4ee7-a086-f19031701f11;Rua Araxá, 18 - Nossa Senhora da Conceição;Paulista - PE;53425-750;48.614.791/0001-76;['Segunda-feira - 14:00 às 23:59', 'Terça-feira - 14:00 às 23:59', 'Quarta-feira - 14:00 às 23:59', 'Quinta-feira - 14:00 às 23:59', 'Sexta-feira - 14:00 às 23:59', 'Sábado - 14:00 às 23:59', 'Domingo - 14:00 às 23:59'];['destaques', 'açai pedro copão', 'pastel de forno', 'barca tamanho família', 'salada de frutas', 'lanches', 'vitaminas', 'refrigerante']
Energia 1000 Burguer / Açai;https://www.ifood.com.br/delivery/paulista-pe/energia-1000-burguer---acai-paratibe/4f2422a0-c4a1-4e30-9ef2-dd4cb20a0c71;Avenida Lindolfo Collor, 10 - Paratibe;Paulista - PE;53413-150;48.674.802/0001-03;['Segunda-feira - 16:00 às 23:59', 'Terça-feira - 16:00 às 23:59', 'Quarta-feira - 17:00 às 23:59', 'Quinta-feira - 17:30 às 23:59', 'Sexta-feira - 16:00 às 23:59', 'Sábado - 16:00 às 23:59', 'Domingo - 16:00 às 23:59'];['burguer gigante', 'combo familia', 'açai e cremes', 'hamburguer artesanal', 'sanduíches no pão de caixa', 'hamburguer tradicional', 'hamburguer super', 'batata frita e onion rings', 'milk shakes, sucos e vitaminas', 'sobremesa', 'promobombs']
Barão Burguer;https://www.ifood.com.br/delivery/paulista-pe/barao-burguer-artur-lundgren-i/8ab4960c-b42f-472a-812f-95eb14693a9c;Rua Conde de Irajá, 3728 - Artur Lundgren I;Paulista - PE;53417-080;33.879.349/0001-02;['Segunda-feira - 18:00 às 23:59', 'Terça-feira - 18:00 às 23:59', 'Quarta-feira - Não abre', 'Quinta-feira - 18:00 às 23:59', 'Sexta-feira - 18:00 às 23:59', 'Sábado - 18:00 às 23:59', 'Domingo - 18:00 às 23:59'];['destaques', 'barão ofertas', 'hambúrgueres', 'acompanhamentos', 'sobremesas', 'bebidas']
Brownie by Santos;https://www.ifood.com.br/delivery/paulista-pe/brownie-by-santos-centro/38b2239f-253f-4669-aae1-72aa00a5772d;Travessa Santa Tereza, 490 - Centro;Paulista - PE;53401-200;46.912.946/0001-25;['Segunda-feira - 07:00 às 22:00', 'Terça-feira - 07:00 às 22:00', 'Quarta-feira - 07:00 às 22:00', 'Quinta-feira - 07:00 às 22:00', 'Sexta-feira - 07:00 às 22:00', 'Sábado - 07:00 às 22:00', 'Domingo - 07:00 às 22:00'];['destaques', 'tradicionais', 'especial', 'promos']
Docevida Lanches;https://www.ifood.com.br/delivery/paulista-pe/docevida-lanches-pau-amarelo/777c5db3-096e-4205-843f-9ea7d1d7d52b;Rua Estados Unidos, 571 - Pau Amarelo;Paulista - PE;53431-105;48.613.529/0001-07;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['hamburguers', 'lanches', 'petiscos', 'sobremesas', 'refrigerantes', 'sucos', 'bebidas diversas', 'bebidas', 'doses']
Maraka Burguer (north Way Shopping);https://www.ifood.com.br/delivery/paulista-pe/maraka-burguer-north-way-shopping-centro/f50c559e-ccfb-4195-9801-cfd4f82228e6;Rodovia Pe-15, 242 - Centro;Paulista - PE;53401-445;30.245.214/0001-99;['Segunda-feira - 10:00 às 22:00', 'Terça-feira - 10:00 às 22:00', 'Quarta-feira - 10:00 às 22:00', 'Quinta-feira - 10:00 às 22:00', 'Sexta-feira - 10:00 às 22:00', 'Sábado - 10:00 às 22:00', 'Domingo - 12:30 às 21:00'];['baguetes 30cm', 'bebidas', 'beirute', 'bigs', 'burguers', 'especiais', 'hot dog', 'natural', 'regional', 'sanduíches']
Cia dos Churros;https://www.ifood.com.br/delivery/paulista--pe/cia-dos-churros-centro/3f1296f2-2192-4fac-b799-9b12bd7b2b31;Rodovia 15 - Km 16,5 , 242 - Centro ;Paulista  - PE;53401-445;34.561.396/0001-68;['Segunda-feira - 09:30 às 21:30', 'Terça-feira - 09:30 às 21:30', 'Quarta-feira - 09:30 às 21:30', 'Quinta-feira - 09:30 às 21:30', 'Sexta-feira - 09:30 às 21:30', 'Sábado - 09:30 às 21:30', 'Domingo - 12:30 às 20:45'];['combos', 'churros ', 'bebidas']
Chiquinho Sorvetes - Paulista 01;https://www.ifood.com.br/delivery/paulista-pe/chiquinho-sorvetes---paulista-01-centro/3fc5d58b-1779-4f82-af72-47f38afc5ca4;Rodovia Pe-15, 242 - Centro;Paulista - PE;53401-445;34.485.944/0001-18;['Segunda-feira - 09:15 às 21:30', 'Terça-feira - 09:15 às 21:30', 'Quarta-feira - 09:15 às 21:30', 'Quinta-feira - 09:15 às 21:30', 'Sexta-feira - 09:15 às 21:30', 'Sábado - 09:15 às 21:30', 'Domingo - 12:15 às 20:30'];['shake mix insuperáveis - 300ml', 'shake mix clássicos - 300ml', 'milk shakes - fabulosos', 'milk shakes tradicionais']
Lefu Restaurante;https://www.ifood.com.br/delivery/paulista-pe/lefu-restaurante-centro/09d5b2d8-193f-46c9-99be-9564afe7b90a;Rodovia Pe-15, 242 - Centro;Paulista - PE;53401-445;41.253.722/0001-35;['Segunda-feira - 09:00 às 21:45', 'Terça-feira - 09:00 às 21:45', 'Quarta-feira - 09:00 às 21:45', 'Quinta-feira - 09:00 às 21:45', 'Sexta-feira - 09:00 às 21:45', 'Sábado - 09:00 às 21:45', 'Domingo - 12:00 às 20:45'];['destaques', 'comida chinesa', 'petiscos', 'pastéis', 'combinação de família', 'bebida', 'pratos']
Fritos: Só no Exagero;https://www.ifood.com.br/delivery/paulista-pe/fritos-so-no-exagero-paratibe/87bcd88a-0cb8-486f-9c5e-d463a9f43284;Rua Santa Rita, 17 - Paratibe;Paulista - PE;53413-136;37.086.140/0001-34;['Segunda-feira - 00:00 às 02:00 - 08:00 às 23:59', 'Terça-feira - 00:00 às 02:00 - 08:00 às 23:59', 'Quarta-feira - 00:00 às 02:00 - 08:00 às 23:59', 'Quinta-feira - 00:00 às 02:00 - 08:00 às 23:59', 'Sexta-feira - 00:00 às 02:00 - 08:00 às 23:59', 'Sábado - 00:00 às 02:00 - 08:00 às 23:59', 'Domingo - 00:00 às 02:00 - 08:00 às 23:59'];['combos de salgados', 'croquete', 'bolinha de queijo', 'açai e cupuaçu', 'bolinho de charque']
Açai Toda Hora;https://www.ifood.com.br/delivery/paulista-pe/acai-toda-hora-paratibe/50634f01-6409-422e-b350-64bfea58142f;Rua Santa Rita, 17 - Paratibe;Paulista - PE;53413-136;37.939.648/0001-38;['Segunda-feira - 00:00 às 02:00 - 08:00 às 23:59', 'Terça-feira - 00:00 às 02:00 - 08:00 às 23:59', 'Quarta-feira - 00:00 às 02:00 - 08:00 às 23:59', 'Quinta-feira - 00:00 às 02:00 - 08:00 às 23:59', 'Sexta-feira - 00:00 às 02:00 - 08:00 às 23:59', 'Sábado - 00:00 às 02:00 - 08:00 às 23:59', 'Domingo - 00:00 às 02:00 - 08:00 às 23:59'];['açai puro 100%', 'clone de açai puro 100%', 'cupuaçu', 'dueto: açai + cupuaçu', 'croquete']
Paço Real - Norte Way;https://www.ifood.com.br/delivery/paulista-pe/paco-real---norte-way-centro/e2b392f1-807f-4ca7-85ea-d13d8b3001cc;Rodovia Pe-15, 242 - Centro;Paulista - PE;53401-445;05.402.939/0001-04;['Segunda-feira - 11:00 às 21:30', 'Terça-feira - 11:00 às 21:30', 'Quarta-feira - 11:00 às 21:30', 'Quinta-feira - 11:00 às 21:30', 'Sexta-feira - 11:00 às 21:30', 'Sábado - 11:00 às 21:30', 'Domingo - 11:00 às 20:30'];"['destaques', 'pratos (serve 2 pessoas)', 'top 5', 'aves', 'carnes', 'pescados', 'saladas', 'combos sanduiches', 'pizza', 'sushi', 'guarnição extra', 'bebidas', ""hamburguer's""]"
Coxinha no Pote North Way Shopping;https://www.ifood.com.br/delivery/recife-pe/coxinha-no-pote-north-way-shopping-centro/a821eee6-6f44-4709-935d-ecf4e3b49294;Rod Pe 15, 242 - Centro;Recife - PE;53401-445;31.319.969/0001-53;['Segunda-feira - 09:00 às 22:00', 'Terça-feira - 09:00 às 22:00', 'Quarta-feira - 09:00 às 22:00', 'Quinta-feira - 09:00 às 22:00', 'Sexta-feira - 09:00 às 22:00', 'Sábado - 09:00 às 22:00', 'Domingo - 12:00 às 21:00'];['potes de coxinha', 'molhos']
Saladelli;https://www.ifood.com.br/delivery/paulista-pe/saladelli-centro/648a0de8-f1a2-45bd-9bf0-6059f1b2806e;Rodovia Pe-15, 242 - Centro;Paulista - PE;53401-445;08.504.645/0001-73;['Segunda-feira - 10:00 às 21:45', 'Terça-feira - 10:00 às 21:45', 'Quarta-feira - 10:00 às 21:45', 'Quinta-feira - 10:00 às 21:45', 'Sexta-feira - 10:00 às 21:45', 'Sábado - 10:00 às 21:45', 'Domingo - 12:00 às 20:45'];['destaques', 'promoções especiais', 'saladas', 'pratos  saudáveis', 'pratos vegetarianos', 'sucos']
Giraffas North Way;https://www.ifood.com.br/delivery/paulista-pe/giraffas-north-way-centro/b21da77b-79ee-487d-a018-22796c534cd2;Rodovia Pe 15, 242 - Centro;Paulista - PE;53401-445;32.215.042/0001-36;['Segunda-feira - 10:30 às 21:30', 'Terça-feira - 10:30 às 21:30', 'Quarta-feira - 10:30 às 21:30', 'Quinta-feira - 10:30 às 21:30', 'Sexta-feira - 10:30 às 21:30', 'Sábado - 10:30 às 21:30', 'Domingo - 11:00 às 20:15'];['promoções', 'mais vendidos', 'carne bovina', 'frangos', 'carne suína', 'vegetariano', 'combos vegetariano', 'burger', 'chicken', 'bebidas', 'infantil', 'sobremesas']
Pizzeto - Norte Way;https://www.ifood.com.br/delivery/paulista-pe/pizzeto---norte-way-centro/9de23814-88e5-4c21-8063-7fcf2dcc9ba7;Rodovia Pe-15, 242 - Centro;Paulista - PE;53401-445;05.402.939/0001-04;['Segunda-feira - 11:00 às 21:30', 'Terça-feira - 11:00 às 21:30', 'Quarta-feira - 11:00 às 21:30', 'Quinta-feira - 11:00 às 21:30', 'Sexta-feira - 11:00 às 21:30', 'Sábado - 11:00 às 21:30', 'Domingo - 11:00 às 20:30'];['destaques', 'top 5', 'promoções', 'massas', 'pizza salgada', 'pizza 2 sabores', 'combos', 'bebidas']
Paço Oriente - Norte Way;https://www.ifood.com.br/delivery/paulista-pe/paco-oriente---norte-way-centro/e4d55b26-6cf4-46c0-bd65-630b2f3995b9;Rodovia Pe-15, 242 - Centro;Paulista - PE;53401-445;05.402.939/0001-04;['Segunda-feira - 11:00 às 21:30', 'Terça-feira - 11:00 às 21:30', 'Quarta-feira - 11:00 às 21:30', 'Quinta-feira - 11:00 às 21:30', 'Sexta-feira - 11:00 às 21:30', 'Sábado - 11:00 às 21:30', 'Domingo - 11:00 às 20:30'];['bebidas']
Saffari Marmitas - Paulista;https://www.ifood.com.br/delivery/paulista-pe/saffari-marmitas---paulista-centro/ebe88eb8-afad-46a0-9c63-70d3e3607ac7;Rodovia Pe 15, 242 - Centro;Paulista - PE;53401-445;32.215.042/0001-36;['Segunda-feira - 10:30 às 21:30', 'Terça-feira - 10:30 às 21:30', 'Quarta-feira - 10:30 às 21:30', 'Quinta-feira - 10:30 às 21:30', 'Sexta-feira - 10:30 às 21:30', 'Sábado - 10:30 às 21:30', 'Domingo - 11:00 às 20:15'];['destaques', 'seleção de ofertas', 'refeição', 'bebidas']
Pizzaria Atlântico Paulista;https://www.ifood.com.br/delivery/paulista-pe/pizzaria-atlantico-paulista-centro/08d89c7a-2768-4d96-a3c3-dd0f52486359;Rodovia Pe-15, 242 - Centro;Paulista - PE;53050-440;08.504.645/0001-73;['Segunda-feira - 10:00 às 21:45', 'Terça-feira - 10:00 às 21:45', 'Quarta-feira - 10:00 às 21:45', 'Quinta-feira - 10:00 às 21:45', 'Sexta-feira - 10:00 às 21:45', 'Sábado - 10:00 às 21:45', 'Domingo - 12:00 às 20:30'];['destaques', 'promoções de pratos 02 pessoas', 'promoções de pizza', 'hambúrgueres clássicos (160gr)', 'combos especiais (160gr)', 'hambúrgueres versão menor (120gr)', 'combos especiais (120gr)', 'promoções de pizza :)', 'pizzas médias', 'pizzas', 'pizzas grandes', 'saladas individuais', 'aves individuais', 'carnes individuais', 'frutos do mar individuais', 'massas individuais', 'bebidas']
Atlântico Burger - Paulista;https://www.ifood.com.br/delivery/paulista-pe/atlantico-burger---paulista-centro/affe13dc-5d3d-4a42-9af6-e30da10ca9d9;Rodovia Pe-15, 242 - Centro;Paulista - PE;53050-440;08.504.645/0001-73;['Segunda-feira - 10:30 às 21:45', 'Terça-feira - 10:30 às 21:45', 'Quarta-feira - 10:30 às 21:45', 'Quinta-feira - 10:30 às 21:45', 'Sexta-feira - 10:30 às 21:45', 'Sábado - 10:30 às 21:45', 'Domingo - 12:00 às 20:45'];['destaques', 'hambúrgueres clássicos (160gr)', 'combos especiais (160gr)', 'hambúrgueres versão menor (120gr)', 'combos especiais (120gr)', 'batata frita', 'bebidas']
Marinana Doces / Picolé Gourmet ;https://www.ifood.com.br/delivery/paulista-pe/marinana-doces---picole-gourmet-pau-amarelo/a638b6ec-37ee-4004-82bc-fd6fd9efb9fb;Rua Cecília Carneiro da Silva, 819 - Pau Amarelo;Paulista - PE;53431-135;40.489.326/0001-49;['Segunda-feira - 08:00 às 23:00', 'Terça-feira - 08:00 às 22:30', 'Quarta-feira - 08:00 às 22:30', 'Quinta-feira - 08:00 às 22:30', 'Sexta-feira - 08:00 às 22:30', 'Sábado - 08:00 às 23:30', 'Domingo - 08:00 às 23:30'];['-']
Pizzaria da Glaubia;https://www.ifood.com.br/delivery/paulista-pe/pizzaria-da-glaubia-pau-amarelo/85ffa7e2-c82c-40dd-a1e0-3464d2429340;Rua Ruanda, 308 - Pau Amarelo;Paulista - PE;53431-020;21.687.957/0001-28;['Segunda-feira - Não abre', 'Terça-feira - 17:00 às 23:00', 'Quarta-feira - 17:00 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 17:00 às 23:00', 'Domingo - 17:00 às 23:00'];['pizza', 'bebida']
